gs,woodiness,woodiness.count
Acacia ditricha,W,0;0;1
Acacia dodonaeifolia,W,0;0;1
Acacia donaldsonii,W,0;0;1
Acacia doratoxylon,W,0;0;22
Acacia dunnii,W,0;0;1
Acacia duriuscula,W,0;0;1
Acacia echinuliflora,W,0;0;1
Acacia elata,W,0;0;4
Acacia ephedroides,W,0;0;1
Acacia eremaea,W,0;0;1
Acacia eriocarpa,W,0;0;1
Acacia erioloba,W,0;0;3
Acacia eriopoda,W,0;0;2
Acacia erubescens,W,0;0;2
Acacia estrophiolata,W,0;0;1
Acacia excelsa,W,0;0;6
Acacia exilis,W,0;0;1
Acacia exuvialis,W,0;0;1
Acacia falcata,W,0;0;1
Acacia falciformis,W,0;0;1
Acacia farnesiana,W,0;0;7
Acacia fasciculifera,W,0;0;2
Acacia fauntleroyi,W,0;0;1
Acacia ferruginea,W,0;0;1
Acacia filicifolia,W,0;0;1
Acacia fimbriata,W,0;0;1
Acacia floribunda,W,0;0;11
Acacia floydii,W,0;0;1
Acacia frigescens,W,0;0;1
Acacia fulva,W,0;0;1
Acacia furcatispina,W,0;0;5
Acacia galeata,W,0;0;1
Acacia galpinii,W,0;0;3
Acacia gardneri,W,0;0;1
Acacia gaumeri,W,0;0;2
Acacia genistifolia,W,0;0;1
Acacia georgensis,W,0;0;1
Acacia georginae,W,0;0;2
Acacia gerrardii,W,0;0;3
Acacia gibbosa,W,0;0;1
Acacia gillii,W,0;0;1
Acacia glaucocaesia,W,0;0;1
Acacia glaucocarpa,W,0;0;2
Acacia glaucoptera,W,0;0;1
Acacia glomerosa,W,0;0;5
Acacia goetzei,W,0;0;1
Acacia gonoclada,W,0;0;1
Acacia gracillima,W,0;0;1
Acacia grandicornuta,W,0;0;1
Acacia grasbyi,W,0;0;4
Acacia grayana,W,0;0;1
Acacia greggii,W,0;0;4
Acacia haematoxylon,W,0;0;1
Acacia hakeoides,W,0;0;7
Acacia hammondii,W,0;0;1
Acacia harpophylla,W,0;0;4
Acacia havilandiorum,W,0;0;12
Acacia hayesii,W,0;0;3
Acacia hebeclada,W,0;0;1
Acacia hemignosta,W,0;0;2
Acacia hemsleyi,W,0;0;2
Acacia hereroensis,W,0;0;1
Acacia heteroclita,W,0;0;1
Acacia hindsii,W,0;0;2
Acacia holosericea,W,0;0;5
Acacia holotricha,W,0;0;1
Acacia homalophylla,W,0;0;6
Acacia howittii,W,0;0;1
Acacia huegelii,W,0;0;2
Acacia hyaloneura,W,0;0;1
Acacia implexa,W,0;0;2
Acacia inophloia,W,0;0;1
Acacia intorta,W,0;0;1
Acacia irrorata,W,0;0;11
Acacia ixodes,W,0;0;1
Acacia jamesiana,W,0;0;1
Acacia jennerae,W,0;0;2
Acacia jensenii,W,0;0;1
Acacia jibberdingensis,W,0;0;1
Acacia jucunda,W,0;0;1
Acacia julifera,W,0;0;1
Acacia karroo,W,0;0;8
Acacia kelleri,W,0;0;1
Acacia kempeana,W,0;0;3
Acacia kenneallyi,W,0;0;1
Acacia kettlewelliae,W,0;0;1
Acacia koa,W,0;0;3
Acacia laccata,W,0;0;1
Acacia lasiocalyx,W,0;0;2
Acacia latescens,W,0;0;1
Acacia latifolia,W,0;0;1
Acacia latzii,W,0;0;2
Acacia legnota,W,0;0;1
Acacia leiocalyx,W,0;0;2
Acacia leiophylla,W,0;0;1
Acacia leptoloba,W,0;0;1
Acacia leptostachya,W,0;0;1
Acacia leucoclada,W,0;0;2
Acacia leucophloea,W,0;0;1
Acacia ligulata,W,0;0;6
Acacia ligustrina,W,0;0;1
Acacia linearifolia,W,0;0;2
Acacia linearis,W,0;0;1
Acacia lineata,W,0;0;3
Acacia loderi,W,0;0;1
Acacia longifolia,W,0;0;8
Acacia longissima,W,0;0;6
Acacia loretensis,W,0;0;2
Acacia loroloba,W,0;0;1
Acacia luederitzii,W,0;0;3
Acacia lutea,W,0;0;1
Acacia lycopodiifolia,W,0;0;1
Acacia lysiphloia,W,0;0;1
Acacia mabellae,W,0;0;1
Acacia macdonnellensis,W,0;0;3
Acacia maconochieana,W,0;0;2
Acacia macracantha,W,0;0;1
Acacia macradenia,W,0;0;1
Acacia macrostachya,W,0;0;1
Acacia maidenii,W,0;0;2
Acacia maitlandii,W,0;0;1
Acacia mangium,W,0;0;12
Acacia masliniana,W,0;0;1
Acacia mathuataensis,W,0;0;1
Acacia matthewii,W,0;0;1
Acacia mayana,W,0;0;4
Acacia mearnsii,W,0;0;5
Acacia meiosperma,W,0;0;1
Acacia melanoceras,W,0;0;6
Acacia melanoxylon,W,0;0;21
Acacia mellifera,W,0;0;7
Acacia merinthophora,W,0;0;1
Acacia microbotrya,W,0;0;1
Acacia mimula,W,0;0;3
Acacia minutifolia,W,0;0;1
Acacia modesta,W,0;0;2
Acacia montana,W,0;0;1
Acacia monticola,W,0;0;3
Acacia montis-usti,W,0;0;1
Acacia mountfordiae,W,0;0;1
Acacia mucronata,W,0;0;5
Acacia muelleriana,W,0;0;3
Acacia multisiliqua,W,0;0;1
Acacia multistipulosa,W,0;0;1
Acacia muricata,W,0;0;1
Acacia murrayana,W,0;0;3
Acacia myrtifolia,W,0;0;2
Acacia nebrownii,W,0;0;1
Acacia neriifolia,W,0;0;1
Acacia neurocarpa,W,0;0;1
Acacia neurophylla,W,0;0;2
Acacia nigrescens,W,0;0;7
Acacia nilotica,W,0;0;7
Acacia nitidula,W,0;0;1
Acacia notabilis,W,0;0;1
Acacia nuperrima,W,0;0;1
Acacia nyssophylla,W,0;0;1
Acacia obliquinervia,W,0;0;1
Acacia obtusifolia,W,0;0;1
Acacia oldfieldii,W,0;0;1
Acacia olgana,W,0;0;1
Acacia omalophylla,W,0;0;2
Acacia oncinocarpa,W,0;0;1
Acacia oraria,W,0;0;1
Acacia orites,W,0;0;3
Acacia orthocarpa,W,0;0;1
Acacia oshanesii,W,0;0;3
Acacia oswaldii,W,0;0;9
Acacia oxycedrus,W,0;0;2
Acacia pachyacra,W,0;0;1
Acacia pachycarpa,W,0;0;2
Acacia pachyphloia,W,0;0;1
Acacia pallidifolia,W,0;0;1
Acacia palustris,W,0;0;1
Acacia paniculata,W,0;0;1
Acacia papyrocarpa,W,0;0;4
Acacia paradoxa,W,0;0;6
Acacia parramattensis,W,0;0;3
Acacia parvipinnula,W,0;0;1
Acacia pataczekii,W,0;0;1
Acacia pellita,W,0;0;2
Acacia pendula,W,0;0;1
Acacia pennata,W,0;0;1
Acacia penninervis,W,0;0;10
Acacia pentadenia,W,0;0;1
Acacia perangusta,W,0;0;1
Acacia permixta,W,0;0;1
Acacia petraea,W,0;0;1
Acacia peuce,W,0;0;1
Acacia phlebophylla,W,0;0;1
Acacia phyllodes,W,0;0;1
Acacia picachensis,W,0;0;1
Acacia pickardii,W,0;0;1
Acacia platycarpa,W,0;0;3
Acacia plectocarpa,W,0;0;1
Acacia podalyriifolia,W,0;0;1
Acacia polifolia,W,0;0;1
Acacia polyacantha,W,0;0;5
Acacia polyphylla,W,0;0;4
Acacia praecox,W,0;0;3
Acacia prainii,W,0;0;2
Acacia pravissima,W,0;0;1
Acacia prominens,W,0;0;1
Acacia pruinocarpa,W,0;0;6
Acacia pruinosa,W,0;0;1
Acacia pubescens,W,0;0;3
Acacia pubicosta,W,0;0;1
Acacia pubifolia,W,0;0;1
Acacia pubirhachis,W,0;0;1
Acacia pulchella,W,0;0;2
Acacia purpurea,H,1;0;0
Acacia pycnantha,W,0;0;2
Acacia pycnostachya,W,0;0;1
Acacia quadrimarginea,W,0;0;2
Acacia racospermoides,W,0;0;1
Acacia raddiana,W,0;0;1
Acacia ramulosa,W,0;0;2
Acacia redacta,W,0;0;1
Acacia reficiens,W,0;0;1
Acacia rehmanniana,W,0;0;1
Acacia resinimarginea,W,0;0;2
Acacia resinistipulea,W,0;0;1
Acacia retinervis,W,0;0;1
Acacia retinodes,W,0;0;3
Acacia retivenea,W,0;0;1
Acacia rhodophloia,W,0;0;1
Acacia rhodoxylon,W,0;0;1
Acacia riceana,W,0;0;1
Acacia richii,W,0;0;1
Acacia rigens,W,0;0;3
Acacia rigidula,W,0;0;2
Acacia riparia,W,0;0;1
Acacia rivalis,W,0;0;1
Acacia robusta,W,0;0;7
Acacia robynsiana,W,0;0;1
Acacia roemeriana,W,0;0;1
Acacia rorudiana,W,0;0;1
Acacia rossei,W,0;0;1
Acacia roycei,W,0;0;1
Acacia rubida,W,0;0;1
Acacia salazarii,W,0;0;1
Acacia saliciformis,W,0;0;1
Acacia salicina,W,0;0;3
Acacia saligna,W,0;0;2
Acacia schinoides,W,0;0;1
Acacia schottii,W,0;0;1
Acacia schweinfurthii,W,0;0;2
Acacia scirpifolia,W,0;0;1
Acacia sclerosperma,W,0;0;2
Acacia scopulorum,W,0;0;1
Acacia semilunata,W,0;0;1
Acacia semirigida,W,0;0;1
Acacia senegal,W,0;0;3
Acacia sericata,W,0;0;1
Acacia sericoflora,W,0;0;1
Acacia sessiliceps,W,0;0;2
Acacia shirleyi,W,0;0;4
Acacia sibilans,W,0;0;1
Acacia siculiformis,W,0;0;1
Acacia sieberiana,W,0;0;3
Acacia signata,W,0;0;1
Acacia sophorae,W,0;0;1
Acacia speckii,W,0;0;1
Acacia spectabilis,W,0;0;3
Acacia spinescens,W,0;0;1
Acacia spirorbis,W,0;0;1
Acacia spondylophylla,W,0;0;1
Acacia steedmanii,W,0;0;1
Acacia stenophylla,W,0;0;8
Acacia stereophylla,W,0;0;1
Acacia stipuligera,W,0;0;1
Acacia storyi,W,0;0;1
Acacia stowardii,W,0;0;1
Acacia striatifolia,W,0;0;1
Acacia stricta,W,0;0;3
Acacia stuhlmannii,W,0;0;1
Acacia suaveolens,W,0;0;17
Acacia suberosa,W,0;0;1
Acacia subtessarogona,W,0;0;1
Acacia subulata,W,0;0;1
Acacia suma,W,0;0;1
Acacia sutherlandii,W,0;0;1
Acacia swazica,W,0;0;1
Acacia symonii,W,0;0;1
Acacia synchronicia,W,0;0;1
Acacia tenuifolia,W,0;0;1
Acacia tenuinervis,W,0;0;1
Acacia tenuissima,W,0;0;1
Acacia terminalis,W,0;0;4
Acacia tessellata,W,0;0;1
Acacia tetragonophylla,W,0;0;14
Acacia thomsonii,W,0;0;1
Acacia tindaleae,W,0;0;2
Acacia tomentosa,W,0;0;1
Acacia tortilis,W,0;0;8
Acacia torulosa,W,0;0;1
Acacia trachycarpa,W,0;0;1
Acacia trachyphloia,W,0;0;1
Acacia translucens,W,0;0;1
Acacia trinalis,W,0;0;1
Acacia trinervata,W,0;0;2
Acacia trineura,W,0;0;3
Acacia triptera,W,0;0;2
Acacia triptycha,W,0;0;1
Acacia tropica,W,0;0;1
Acacia truncata,W,0;0;1
Acacia tucumanensis,W,0;0;1
Acacia tumida,W,0;0;2
Acacia tysonii,W,0;0;1
Acacia ulicifolia,W,0;0;5
Acacia umbellata,W,0;0;1
Acacia uncifera,W,0;0;1
Acacia uncinata,W,0;0;3
Acacia undoolyana,W,0;0;1
Acacia unguicula,W,0;0;1
Acacia urophylla,W,0;0;1
Acacia usumacintensis,W,0;0;1
Acacia valida,W,0;0;1
Acacia verniciflua,W,0;0;2
Acacia veronica,W,0;0;1
Acacia verricula,W,0;0;1
Acacia verticillata,W,0;0;6
Acacia victoriae,W,0;0;7
Acacia viscidula,W,0;0;1
Acacia visco,W,0;0;1
Acacia wanyu,W,0;0;1
Acacia wardellii,W,0;0;1
Acacia wattsiana,W,0;0;1
Acacia websteri,W,0;0;1
Acacia wilhelmiana,W,0;0;9
Acacia willardiana,W,0;0;1
Acacia wrightii,W,0;0;1
Acacia xanthina,W,0;0;1
Acacia xanthophloea,W,0;0;2
Acacia xiphophylla,W,0;0;2
Acacia yorkrakinensis,W,0;0;1
Acaciella angustissima,W,0;0;1
Acaena anserinifolia,H,3;0;0
Acaena antarctica,H,2;0;0
Acaena magellanica,H,6;0;0
Acaena minor,H,2;0;0
Acaena novae-zelandiae,H,1;0;0
Acaena tenera,H,3;0;0
Acalypha arvensis,H,1;0;0
Acalypha australis,H,2;0;0
Acalypha bipartita,W,0;0;1
Acalypha californica,W,0;0;2
Acalypha caturus,W,0;0;9
Acalypha chirindica,W,0;0;1
Acalypha ciliata,H,1;0;0
Acalypha communis,W,1;0;3
Acalypha cuneata,W,0;0;1
Acalypha diversifolia,W,0;0;5
Acalypha fimbriata,H,1;0;0
Acalypha fruticosa,W,0;0;1
Acalypha grandis,W,0;0;2
Acalypha indica,H,1;0;0
Acalypha insulana,W,0;0;1
Acalypha integrifolia,W,0;0;1
Acalypha lanceolata,H,2;0;0
Acalypha macrostachya,W,0;0;4
Acalypha mapirensis,W,0;0;1
Acalypha monococca,H,1;0;0
Acalypha ornata,W,0;0;1
Acalypha ostryifolia,H,2;0;0
Acalypha peduncularis,H,1;0;0
Acalypha phleoides,H,1;0;0
Acalypha platyphylla,W,0;0;1
Acalypha punctata,H,1;0;0
Acalypha rhomboidea,H,1;0;0
Acalypha rivularis,W,0;0;1
Acalypha skutchii,W,0;0;9
Acalypha stachyura,W,0;0;1
Acalypha virginica,H,3;0;0
Acampe ochracea,H,1;0;0
Acampe papillosa,H,1;0;0
Acampe rigida,H,1;0;0
Acamptopappus shockleyi,W,0;0;3
Acanthephippium mantinianum,H,1;0;0
Acanthephippium sylhetense,H,1;0;0
Acanthocalyx albus,H,1;0;0
Acanthocarpus preissii,W,2;0;3
Acanthocereus pentagonus,W,0;0;1
Acanthocladium dockeri,W,0;0;1
Acanthogilia gloriosa,W,0;0;1
Acantholepis orientalis,H,1;0;0
Acantholippia deserticola,W,0;0;1
Acantholippia seriphioides,W,0;0;1
Acantholippia trifida,W,0;0;2
Acanthopanax sciadophylloides,W,0;0;1
Acanthopanax senticosus,W,0;0;4
Acanthopanax setchuenensis,W,0;0;1
Acanthophoenix rubra,W,0;0;1
Acanthosicyos horridus,W,0;0;1
Acanthospermum australe,H,1;0;0
Acanthostachys strobilacea,H,2;0;0
Acanthosyris annonagustata,W,0;0;2
Acanthosyris asipapote,W,0;0;1
Acanthosyris falcata,W,0;0;4
Acanthosyris glabrata,W,0;0;2
Acanthus ebracteatus,W,0;0;1
Acanthus ilicifolius,W,0;0;1
Acanthus longifolius,H,1;0;0
Acanthus montanus,W,0;0;1
Acca sellowiana,W,0;0;3
Acer acuminatum,W,0;0;2
Acer amplum,W,0;0;1
Acer argutum,W,0;0;2
Acer barbatum,W,0;0;1
Acer barbinerve,W,0;0;5
Acer buergerianum,W,0;0;8
Acer caesium,W,0;0;2
Acer campbellii,W,0;0;3
Acer campestre,W,0;0;21
Acer capillipes,W,0;0;1
Acer cappadocicum,W,0;0;2
Acer carpinifolium,W,0;0;2
Acer catalpifolium,W,0;0;1
Acer caudatum,W,0;0;2
Acer ceriferum,W,0;0;1
Acer circinatum,W,0;0;12
Acer cissifolium,W,0;0;2
Acer cordatum,W,0;0;1
Acer crataegifolium,W,0;0;2
Acer cultratum,W,0;0;1
Acer davidii,W,0;0;4
Acer decandrum,W,0;0;5
Acer diabolicum,W,0;0;2
Acer distylum,W,0;0;2
Acer erianthum,W,0;0;5
Acer fabri,W,0;0;1
Acer garrettii,W,0;0;1
Acer ginnala,W,0;0;14
Acer glabrum,W,0;0;10
Acer grandidentatum,W,0;0;3
Acer griseum,W,0;0;2
Acer grosseri,W,0;0;1
Acer henryi,W,0;0;1
Acer japonicum,W,0;0;3
Acer kungshanense,W,0;0;1
Acer kweilinense,W,0;0;1
Acer laevigatum,W,0;0;2
Acer laurinum,W,0;0;2
Acer leucoderme,W,0;0;2
Acer lobelii,W,0;0;1
Acer lucidum,W,0;0;1
Acer macrophyllum,W,0;0;14
Acer mandshuricum,W,0;0;4
Acer maximowiczianum,W,0;0;1
Acer micranthum,W,0;0;1
Acer miyabei,W,0;0;1
Acer mono,W,0;0;21
Acer monspessulanum,W,0;0;25
Acer morifolium,W,0;0;2
Acer negundo,W,0;0;34
Acer nigrum,W,0;0;3
Acer nikoense,W,0;0;1
Acer nipponicum,W,0;0;1
Acer niveum,W,0;0;1
Acer oblongum,W,0;0;3
Acer obtusifolium,W,0;0;1
Acer opalus,W,0;0;8
Acer palmatum,W,0;0;9
Acer pectinatum,W,0;0;1
Acer pensylvanicum,W,0;0;38
Acer pictum,W,0;0;1
Acer pilosum,W,0;0;1
Acer platanoides,W,0;0;56
Acer pseudoplatanus,W,0;0;40
Acer pseudosieboldianum,W,0;0;5
Acer pycnanthum,W,0;0;1
Acer rubrum,W,0;0;146
Acer rufinerve,W,0;0;4
Acer saccharinum,W,0;0;11
Acer saccharum,W,0;0;107
Acer senecaensis,W,0;0;1
Acer shirasawanum,W,0;0;1
Acer sieboldianum,W,0;0;3
Acer sinense,W,0;0;2
Acer sinopurpurascens,W,0;0;1
Acer spicatum,W,0;0;13
Acer stachyophyllum,W,0;0;2
Acer sterculiaceum,W,0;0;3
Acer syriacum,W,0;0;1
Acer tataricum,W,0;0;10
Acer tegmentosum,W,0;0;7
Acer trautvetteri,W,0;0;2
Acer triflorum,W,0;0;2
Acer truncatum,W,0;0;6
Acer tschonoskii,W,0;0;2
Acer ukurunduense,W,0;0;4
Aceras anthropophorum,H,2;0;0
Aceratium concinnum,W,0;0;3
Aceratium doggrellii,W,0;0;1
Aceratium ferrugineum,W,0;0;1
Aceratium megalospermum,W,0;0;3
Aceratium sericeum,W,0;0;1
Acharia tragodes,variable,0;1;0
Achatocarpus gracilis,W,0;0;1
Achatocarpus nigricans,W,0;0;1
Achatocarpus praecox,W,0;0;2
Achillea atrata,H,3;0;0
Achillea cartilaginea,H,2;0;0
Achillea clavennae,H,3;0;0
Achillea clusiana,H,2;0;0
Achillea erba,H,3;0;0
Achillea filipendulina,H,1;0;0
Achillea macrophylla,H,3;0;0
Achillea millefolium,H,44;0;0
Achillea moschata,H,3;0;0
Achillea nana,H,2;0;0
Achillea nobilis,H,2;0;0
Achillea ptarmica,H,3;0;0
Achimenes cettoana,H,1;0;0
Achimenes skinneri,H,1;0;0
Achlys triphylla,H,1;0;0
Achnatherum aridum,H,1;0;0
Achnatherum calamagrostis,H,3;0;0
Achnatherum contractum,H,1;0;0
Achnatherum diegoense,H,1;0;0
Achnatherum hookeri,H,5;0;0
Achnatherum inebrians,H,4;0;0
Achnatherum parishii,H,1;0;0
Achnatherum sibiricum,H,1;0;0
Achnatherum splendens,H,52;0;0
Achyranthes aspera,H,4;0;0
Achyranthes bidentata,H,1;0;0
Achyropsis leptostachya,H,1;0;0
Achyrospermum cryptanthum,W,0;0;2
Achyrospermum laterale,W,0;0;1
Achyrospermum urens,H,1;0;0
Acianthus caudatus,H,1;0;0
Acianthus cymbalariifolius,H,1;0;0
Acianthus elegans,H,1;0;0
Acianthus exsertus,H,3;0;0
Acicarpha tribuloides,H,2;0;0
Acidocroton trichophyllus,W,0;0;1
Acidonia microcarpa,W,0;0;1
Acidoton nicaraguensis,W,0;0;1
Acidoton urens,W,0;0;1
Acineta chrysantha,H,1;0;0
Acineta superba,H,1;0;0
Acinos alpinus,W,0;0;3
Acioa barteri,W,0;0;2
Acioa edulis,W,0;0;1
Acioa guianensis,W,0;0;1
Acioa pallescens,W,0;0;1
Acioa staudtii,W,0;0;1
Acion hookeri,H,1;0;0
Aciphylla aurea,H,2;0;0
Acis autumnalis,H,1;0;0
Acis nicaeensis,H,1;0;0
Acis tingitana,H,1;0;0
Acis trichophylla,H,1;0;0
Acleisanthes lanceolata,variable,0;1;0
Acleisanthes longiflora,variable,0;1;0
Acmadenia rupicola,W,0;0;1
Acmanthera latifolia,W,0;0;2
Acmella radicans,H,1;0;0
Acmena acuminatissima,W,0;0;2
Acmena divaricata,W,0;0;1
Acmena graveolens,W,0;0;7
Acmena hemilampra,W,0;0;8
Acmena ingens,W,0;0;7
Acmena mackinnoniana,W,0;0;1
Acmena macrocarpa,W,0;0;1
Acmena resa,W,0;0;1
Acmena smithii,W,0;0;24
Acmenosperma claviflorum,W,0;0;2
Acmopyle pancheri,W,0;0;1
Acmopyle sahniana,W,0;0;1
Acnistus ellipticus,W,0;0;1
Acoelorraphe wrightii,W,0;0;1
Acoelorrhaphe wrightii,W,0;0;3
Acokanthera oblongifolia,W,0;0;2
Acokanthera oppositifolia,W,0;0;3
Acokanthera rotundata,W,0;0;1
Acokanthera schimperi,W,0;0;1
Acomastylis rossii,H,2;0;0
